Time (s),Speed (m/s),Gear,Engine Load (% of Max Power),Total Acc (m/s^2),Engine RPM,Pitch (deg),Lateral Acc (m/s^2),Passenger Count,Load Ind,AC Level,Window Opening,Radio Volume,Rain Intensity,Visibility,Driver Wellbeing,Driver Rush
100.01,7.1899,2,15.307,1.0767,2056.7,-2.6982,-1.0461,0,3,0,5,6,0,9,5,0
100.02,7.202,2,15.302,1.0694,2060.3,-2.7062,-1.0335,0,3,0,5,6,0,9,5,0
100.03,7.2178,2,15.293,1.0619,2063.8,-2.7141,-1.0358,0,3,0,5,6,0,9,5,0
100.04,7.2328,2,15.282,1.0542,2067.4,-2.6602,-1.0307,0,3,0,5,6,0,9,5,0
100.05,7.2477,2,15.268,1.0464,2071.0,-2.6672,-1.0328,0,3,0,5,6,0,9,5,0
100.06,7.2657,2,15.25,1.0384,2074.6,-2.6742,-0.96997,0,3,0,5,6,0,9,5,0
100.07,7.2805,2,15.23,1.0301,2078.1,-2.6811,-0.97195,0,3,0,5,6,0,9,5,0
100.08,7.2905,2,15.207,1.0213,2081.7,-2.6879,-0.92225,0,3,0,5,6,0,9,5,0
100.09,7.3044,2,15.18,1.0117,2085.2,-2.6947,-0.924,0,3,0,5,6,0,9,5,0
100.11,7.3207,2,15.151,1.0011,2088.6,-2.7015,-0.86751,0,3,0,5,6,0,9,5,0
100.11,7.3335,2,15.119,0.98927,2092.0,-2.7081,-0.86902,0,3,0,5,6,0,9,5,0
100.12,7.3471,2,15.083,0.97594,2095.4,-2.7148,-0.84859,0,3,0,5,6,0,9,5,0
100.13,7.3654,2,15.045,0.96093,2098.7,-2.7213,-0.8507,0,3,0,5,6,0,9,5,0
100.14,7.3787,2,15.003,0.94416,2102.0,-2.7279,-0.77846,0,3,0,5,6,0,9,5,0
100.16,7.3909,2,14.959,0.92561,2105.2,-2.7343,-0.77974,0,3,0,5,6,0,9,5,0
100.17,7.4066,2,14.911,0.90535,2108.4,-2.7407,-0.69252,0,3,0,5,6,0,9,5,0
100.18,7.4201,2,14.861,0.88355,2111.5,-2.7471,-0.69378,0,3,0,5,6,0,9,5,0
100.18,7.4323,2,14.807,0.86045,2114.6,-2.7534,-0.68005,0,3,0,5,6,0,9,5,0
100.19,7.4441,2,14.75,0.83633,2117.7,-2.7596,-0.68113,0,3,0,5,6,0,9,5,0
100.2,7.4545,2,14.691,0.81153,2120.7,-2.7658,-0.69699,0,3,0,5,6,0,9,5,0
100.21,7.4673,2,14.628,0.78637,2123.6,-2.7719,-0.69819,0,3,0,5,6,0,9,5,0
100.22,7.476,2,14.563,0.76117,2126.6,-2.7779,-0.6392,0,3,0,5,6,0,9,5,0
100.23,7.4878,2,14.494,0.7362,2129.4,-2.7839,-0.64021,0,3,0,5,6,0,9,5,0
100.24,7.4983,2,14.422,0.71168,2132.3,-2.7899,-0.6486,0,3,0,5,6,0,9,5,0
100.25,7.5072,2,14.348,0.68778,2135.1,-2.7958,-0.64938,0,3,0,5,6,0,9,5,0
100.26,7.5139,2,14.27,0.6646,2137.8,-2.8772,-0.64995,0,3,0,5,6,0,9,5,0
100.27,7.524,2,14.189,0.64217,2140.5,-2.882,-0.65083,0,3,0,5,6,0,9,5,0
100.28,7.5341,2,14.105,0.62048,2143.2,-2.8868,-0.57636,0,3,0,5,6,0,9,5,0
100.29,7.5455,2,14.019,0.59947,2145.8,-2.8915,-0.57723,0,3,0,5,6,0,9,5,0
100.3,7.5509,2,13.929,0.57887,2148.4,-2.8961,-0.62295,0,3,0,5,6,0,9,5,0
100.31,7.5646,2,13.836,0.55879,2150.9,-2.9007,-0.62408,0,3,0,5,6,0,9,5,0
100.32,7.5765,2,13.74,0.53914,2153.4,-2.9053,-0.57202,0,3,0,5,6,0,9,5,0
100.33,7.5871,2,13.641,0.51984,2155.9,-2.9098,-0.57282,0,3,0,5,6,0,9,5,0
100.34,7.5991,2,13.539,0.50085,2158.3,-2.9142,-0.55094,0,3,0,5,6,0,9,5,0
100.35,7.6126,2,13.434,0.48213,2160.6,-2.9186,-0.55191,0,3,0,5,6,0,9,5,0
100.36,7.6225,2,13.327,0.46369,2163.0,-2.9229,-0.52214,0,3,0,5,6,0,9,5,0
100.37,7.6289,2,13.216,0.44555,2165.2,-2.9272,-0.52258,0,3,0,5,6,0,9,5,0
100.38,7.6434,2,13.105,0.42776,2167.5,-2.9314,-0.46242,0,3,0,5,6,0,9,5,0
100.39,7.6578,2,12.994,0.41039,2169.7,-2.9356,-0.4633,0,3,0,5,6,0,9,5,0
100.4,7.6648,2,12.883,0.39354,2171.8,-2.9397,-0.39474,0,3,0,5,6,0,9,5,0
100.41,7.6726,2,12.772,0.37729,2173.9,-2.9438,-0.39514,0,3,0,5,6,0,9,5,0
100.42,7.6809,2,12.661,0.36172,2176.0,-2.9478,-0.34948,0,3,0,5,6,0,9,5,0
100.43,7.6901,2,12.55,0.34642,2178.0,-2.9518,-0.3499,0,3,0,5,6,0,9,5,0
100.44,7.6987,2,12.439,0.3319,2179.9,-2.9557,-0.2887,0,3,0,5,6,0,9,5,0
100.45,7.711,2,12.328,0.31818,2181.9,-2.9596,-0.28916,0,3,0,5,6,0,9,5,0
100.47,7.7206,2,12.217,0.30521,2183.8,-2.9634,-0.22004,0,3,0,5,6,0,9,5,0
100.47,7.7226,2,12.106,0.29292,2185.6,-2.9672,-0.2201,0,3,0,5,6,0,9,5,0
100.48,7.7293,2,11.995,0.28119,2187.4,-2.9709,-0.20483,0,3,0,5,6,0,9,5,0
100.49,7.7399,2,11.884,0.26988,2189.2,-2.9746,-0.20511,0,3,0,5,6,0,9,5,0
100.5,7.75,2,11.773,0.2588,2190.9,-2.9782,-0.17438,0,3,0,5,6,0,9,5,0
100.51,7.7542,2,11.665,0.24775,2192.5,-2.9818,-0.17447,0,3,0,5,6,0,9,5,0
100.52,7.7627,2,11.559,0.23679,2194.2,-2.9853,-0.15913,0,3,0,5,6,0,9,5,0
100.53,7.7707,2,11.456,0.2255,2195.7,-2.9888,-0.1593,0,3,0,5,6,0,9,5,0
100.55,7.7778,2,11.355,0.21372,2197.3,-2.9922,-0.20611,0,3,0,5,6,0,9,5,0
100.55,7.7802,2,11.257,0.20136,2198.8,-2.9956,-0.20617,0,3,0,5,6,0,9,5,0
100.56,7.787,2,11.161,0.18836,2200.2,-2.9989,-0.20636,0,3,0,5,6,0,9,5,0
100.58,7.7899,2,11.068,0.17473,2201.6,-3.0022,-0.20643,0,3,0,5,6,0,9,5,0
100.58,7.7892,2,10.977,0.16051,2203.0,-3.0055,-0.20641,0,3,0,5,6,0,9,5,0
100.59,7.7924,2,10.889,0.14579,2204.4,-3.0087,-0.2065,0,3,0,5,6,0,9,5,0
100.61,7.8038,2,10.804,0.13071,2205.7,-3.0118,-0.16778,0,3,0,5,6,0,9,5,0
100.61,7.8105,2,10.721,0.11539,2207.1,-3.0149,-0.16793,0,3,0,5,6,0,9,5,0
100.62,7.8188,2,10.64,0.099949,2208.5,-3.018,-0.10555,0,3,0,5,6,0,9,5,0
100.63,7.8244,2,10.562,0.084515,2209.8,-3.021,-0.10563,0,3,0,5,6,0,9,5,0
100.64,7.8265,2,10.487,0.06917,2211.2,-3.0239,-0.11348,0,3,0,5,6,0,9,5,0
100.65,7.8304,2,10.414,0.053972,2212.6,-3.0268,-0.11354,0,3,0,5,6,0,9,5,0
